BIO_ID,FULL_NAME,ABBR,UNITS
bio1,Annual Mean Temperature,MAT,(°C)
bio2,Mean Diurnal Range,MDR,(°C)
bio3,Isothermality,IST, 
bio4,Temperature Seasonality,TS,(°C * 100)
bio5,Max Temperature of Warmest Month,MaTWaM,(°C)
bio6,Min Temperature of Coldest Month,MiTWaM,(°C)
bio7,Temperature Annual Range,TAR,(°C)
bio8,Mean Temperature of Wettest Quarter,MeTWeQ,(°C)
bio9,Mean Temperature of Driest Quarter,MeTDQ,(°C)
bio10,Mean Temperature of Warmest Quarter,MeTWaQ,(°C)
bio11,Mean Temperature of Coldest Quarter,MeTCQ,(°C)
bio12,Annual Precipitation,MAP,(mm)
bio13,Precipitation of Wettest Month,PWeM,(mm)
bio14,Precipitation of Driest Month,PDM,(mm)
bio15,Precipitation Seasonality,PS,(mm)
bio16,Precipitation of Wettest Quarter,PWeQ,(mm)
bio17,Precipitation of Driest Quarter,PDQ,(mm)
bio18,Precipitation of Warmest Quarter,PWaQ,(mm)
bio19,Precipitation of Coldest Quarter,PCQ,(mm)
