"X","CALVEG.Code","CALVEG.Description","CALVEG.Zone","CWHR.Type.Code","CWHR.Type.Description","CWHR.Lifeform.Code","CWHR.Lifeform.Description","GROWTH_FORM","CHAPorPINE","Raster_VALUE"
1,"A1","Conifer Agriculture (Xmas Trees)",10,"EOR","Evergreen Orchard","WHR_CON","Conifer forest/woodland",NA,NA,NA
2,"A2","Vineyard - Shrub Agriculture",10,"VIN","Vineyard","WHR_SHB","Shrub",NA,NA,NA
3,"A3","Tilled Earth",10,"BAR","Barren","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,12
4,"A4","Orchard Agriculture",10,"DOR, EOR, OVN","Deciduous Orchard, Evergreen Orchard, Orchard Vineyard (legacy code)","WHR_HDW","Hardwood forest/woodland",NA,NA,NA
5,"A5","Flooded Row Crop Agriculture",10,"RIC","Rice","WHR_HEB","Herbaceous",NA,NA,NA
6,"A6","Pastures and Crop Agriculture",10,"PAS, DGR, IGR, IRH, IRF, CRP","Pasture, Dryland Grain Crop, Irrigated Hayfield Crop, Irrigated Row and Field Crop, Cropland (legacy code)","WHR_HEB","Herbaceous",NA,NA,NA
7,"A7","Agriculture Pond or Water Feature",10,"LAC","Lacustrine","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,22
8,"A8","Nurseries",10,"EOR","Evergreen Orchard","WHR_MIX","Mixed conifer and hardwood forest/woodland",NA,NA,NA
9,"AB","Santa Lucia Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
10,"AB","Santa Lucia Fir",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
11,"AC","Alpine Grasses and Forbs",10,"ADS","Alpine Dwarf-Shrub","WHR_HEB","Herbaceous",NA,NA,43
12,"AD","White Bursage",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
13,"AG","Agriculture (General)",10,"CRP","Cropland","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,11
14,"AK","Alkaline Flats",10,"BAR","Barren","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,12
15,"AN","Mendocino Manzanita",10,"CSC","Coastal Scrub","WHR_SHB","Shrub",NA,NA,NA
16,"AS","Shreve Oak",10,"COW","Coastal Oak Woodland","WHR_HDW","Hardwood forest/woodland",NA,NA,NA
17,"AX","Alpine Mixed Scrub",10,"ADS","Alpine Dwarf-Shrub","WHR_SHB","Shrub",NA,NA,43
18,"BA","Barren",10,"BAR","Barren","WHR_NFO","Non and Sparsely Vegetated - Urban, Agriculture or Aquatic",NA,NA,12
19,"BB","Bitterbrush",10,"BBR","Bitterbrush","WHR_SHB","Shrub","Shrub",NA,18
20,"BC","Saltbush",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
21,"BG","Greasewood",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
22,"BI","Littleleaf Mountain Mahogany",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
23,"BL","Low Sagebrush",10,"LSG","Low Sage","WHR_SHB","Shrub","Shrub",NA,34
24,"BM","Curlleaf Mountain Mahogany",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
25,"BP","Bristlecone Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
26,"BP","Bristlecone Pine",10,"SCN","Subalpine Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,30
27,"BQ","Great Basin Mixed Scrub",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
28,"BR","Rabbitbrush",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
29,"BS","Basin Sagebrush",10,"SGB","Sagebrush","WHR_SHB","Shrub","Shrub",NA,31
30,"BT","Big Tree (Giant Sequoia)",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
31,"BT","Big Tree (Giant Sequoia)",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
32,"BX","Great Basin - Mixed Chaparral Transition",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
33,"BZ","Great Basin - Desert Mixed Scrub",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
34,"C1","Ultramafic Mixed Shrub",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
35,"CA","Chamise",10,"CRC","Chamise-Redshank Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",5
36,"CB","Salal - California Huckleberry",10,"CSC","Coastal Scrub","WHR_SHB","Shrub",NA,NA,NA
37,"CC","Ceanothus Mixed Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
38,"CD","Southern Mixed Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
39,"CE","Mountain Misery",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
40,"CG","Greenleaf Manzanita",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
41,"CH","Huckleberry Oak",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
42,"CI","Deerbrush",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
43,"CJ","Brewer Oak",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
44,"CK","Coyote Brush",10,"CSC","Coastal Scrub","WHR_SHB","Shrub",NA,NA,NA
45,"CL","Wedgeleaf Ceanothus",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
46,"CM","Upper Montane Mixed Shrub",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
47,"CN","Pinemat Manzanita",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
48,"CP","Bush Chinquapin",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
49,"CQ","Lower Montane Mixed Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
50,"CR","Red Shanks Chaparral",10,"CRC","Chamise-Redshank Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",5
51,"CS","Scrub Oak",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
52,"CT","Tucker / Muller Scrub Oak",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
53,"CV","Snowbrush",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
54,"CW","Whiteleaf Manzanita",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
55,"CX","Upper Montane Mixed Chaparral",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
56,"CY","Mountain Whitethorn",10,"MCP","Montane Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",4
57,"CZ","Semi-Desert Chaparral",10,"MCH","Mixed Chaparral","WHR_SHB","Shrub","Shrub","All Chaparral",7
58,"DA","Blackbush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
59,"DB","Desert Buckwheat",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
60,"DC","Cholla",10,"DSS","Desert Succulent Scrub","WHR_SHB","Shrub",NA,NA,NA
61,"DD","Croton",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
62,"DE","Arrowweed",10,"DSW","Desert Wash","WHR_SHB","Shrub",NA,NA,NA
63,"DF","Pacific Douglas-Fir",1,"DFR","Douglas Fir","WHR_CON","Conifer forest/woodland","Tree",NA,13
64,"DF","Pacific Douglas-Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
65,"DF","Pacific Douglas-Fir",2,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
66,"DF","Pacific Douglas-Fir",3,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
67,"DF","Pacific Douglas-Fir",4,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
68,"DF","Pacific Douglas-Fir",5,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
69,"DF","Pacific Douglas-Fir",6,"RDW","Redwood","WHR_CON","Conifer forest/woodland",NA,NA,NA
70,"DF","Pacific Douglas-Fir",7,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
71,"DF","Pacific Douglas-Fir",8,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
72,"DF","Pacific Douglas-Fir",9,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
73,"DG","Douglas-Fir - Grand Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
74,"DG","Douglas-Fir - Grand Fir",10,"RDW","Redwood","WHR_CON","Conifer forest/woodland",NA,NA,NA
75,"DI","Indigo Bush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
76,"DJ","Spiny Menodora",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
77,"DL","Creosote Bush",10,"DSC","Desert Scrub","WHR_SHB","Shrub","Shrub",NA,23
78,"DM","Bigcone Douglas-Fir",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
79,"DM","Bigcone Douglas-Fir",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
80,"DO","Ocotillo",10,"DSS","Desert Succulent Scrub","WHR_SHB","Shrub",NA,NA,NA
81,"DP","Douglas-Fir - Ponderosa Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
82,"DP","Douglas-Fir - Ponderosa Pine",10,"SMC","Sierran Mixed Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,10
83,"DS","Shadscale",10,"ASC","Alkali Desert Scrub","WHR_SHB","Shrub","Shrub",NA,33
